Timestamp,Action,Price,Size,Tx_Hash,Reasoning
2026-04-07 17:22:59,BUY,"$2,084.84",0.00874,0x9b4f16dfebcb2369fc17462381bf3654a57de44604d552d91379e6e742004e1d,SMA trend upwards
2026-04-07 17:29:23,SELL(AI),"$2,083.37",0.00874,0x7ffa762dc69d34f2a213c2807522d9e8b1d35d969cbb85fc2d720ad59ccbbff4,Momentum down
2026-04-07 17:32:36,BUY,"$2,082.71",0.00868,0x25bb8bdc7894f7547cee49dadd522f8168b5ba932dc626db35ba336cc487c75a,SMA 10m is higher
2026-04-08 17:28:47,SELL(TP),"$2,247.75",0.00868,0x6776f7d06228d794b1b22dbe68938f9974d9b19963a16aa279e15f37440f34be,Trigger 7.92%
2026-04-08 17:29:59,BUY,"$2,247.84",0.00861,0x9ef0b2bb2389986722b319d19cae6102c2203164be65647d0a296a29dc2fb116,Momentum up
2026-04-08 18:07:27,SELL(TP),"$2,266.02",0.00861,0xc412c950f30d48572421a8f8f21cf8ddc567fd9b410f6aa2858fc265a3236271,Trigger 0.81%
2026-04-08 18:08:14,BUY,"$2,269.54",0.00851,0xb99927f5696c01b72ae8e9bc3cc804c7a9562c080f749598de3c43189e03d60e,Momentum up
2026-04-08 18:08:36,SELL(SL),"$2,263.21",0.00851,0xb4417c0867eb5db5c72297c16175b4606d4b46da9e826737082bb813528c53e1,Trigger -0.28%
2026-04-08 18:49:13,BUY,"$2,241.69",0.00844,0x2fc3c09575bdb9cc0f2cc1c7178a809f97587d09149c35660ebd24ccaa773554,Momentum up
2026-04-08 18:53:15,SELL(SL),"$2,237.19",0.00844,0x657c792392893073c124d1d0b96b9a09de7970092c03aaaf4786596b257b8f03,Trigger -0.20%
2026-04-08 19:23:37,BUY,"$2,229.22",0.00831,0x1f7c602baf12e48467cb33d28da9971effb0d3545c07bd6aae0b3875d2f87688,Momentum up
2026-04-08 19:26:00,SELL(SL),"$2,224.53",0.00831,0xb4f09f66e133edea76543038ce2a5f95bc5d521c6fc2fc2481666563a2a3c764,Trigger -0.21%
2026-04-09 18:30:00,BUY,"$2,178.25",0.00818,0xc6ed89205792244b962c8b43e3fee2a582f7b60580e4a7ba6d3700db2090bf39,SMA 10m below price
2026-04-09 18:37:24,SELL(SL),"$2,173.63",0.00818,0xbf0f6cf5d28dffda13c28d659381ca7d34d268b3d9af404568621a91c5fe82a5,Trigger -0.21%
2026-04-09 18:44:47,BUY,"$2,170.60",0.00803,0x35a769d5fbd58dfa80df67ee0cde1cbb2d0aa6fcd5dc5ed21c40f33b6586e1fe,SMA 10m supports
2026-04-09 18:54:00,SELL(SL),"$2,166.15",0.00803,0x67deb3dc2c53f0d29cb5b27323a33d3d515d75d5aad38a491a8a7eeda7d1884d,Trigger -0.21%
2026-04-09 19:09:37,BUY,"$2,167.21",0.00788,0xec7dc709c791efe5cf484508d9af15bc3b350eca39734844cb1a336c29bb0d35,Price above SMA
2026-04-09 19:29:12,SELL(SL),"$2,161.47",0.00788,0x6fa12cca0d4f632fba2e88cef9343bfd0699d1590ff3baccfed026a1d9020110,Trigger -0.26%
2026-04-09 19:37:35,BUY,"$2,163.20",0.00768,0x58499c4ab28dd30f54e52ae3dbdf038f1b062ea3f68bb61fb0a1af8202217277,SMA 10m support
2026-04-09 20:00:12,SELL(AI),"$2,177.91",0.00768,0xda6aec09eaa249dc416f9de0988d3490620a71386effb1dbf789a81823a6d559,Momentum down
2026-04-09 20:13:49,BUY,"$2,174.90",0.00751,0x9382a820ec29a0949f288cbc39975e98a09e8da4fa2f216e45e2e221effaebb1,Momentum up
2026-04-09 20:26:00,SELL(AI),"$2,188.14",0.00751,0x3941c0ce074f29a973f97327866d07d7423d8565f50ea079f2790beb47c7bb99,Momentum down
2026-04-09 21:08:24,SELL(AI),"$2,220.87",0.00725,0x88e50730499631f6ea8125b6666f13b7aca20916d908c46da1ef2ecdfe85ba58,Momentum down
2026-04-09 21:18:00,BUY,"$2,219.29",0.00711,0xe72ab3428ed53c548b7f69d332faabdb564b48f990c26129a0d4bd65dd90c6f8,Momentum up
2026-04-09 21:24:11,SELL(AI),"$2,213.94",0.00711,0x67d0fa4c567bdda5126c84f361735cd804873c5222abe9f8797dfaa08cedf1d1,Momentum down
2026-04-09 22:04:48,BUY,"$2,216.60",0.00696,0x8d53f4b5adb9bf0d2e12005c41cb24850a9ab188dc4579113d99b53bcce091da,Momentum up
2026-04-09 22:29:23,SELL(AI),"$2,213.43",0.00696,0xb983369fc48fd2e4fdc26ca44885acf9f6a2d235dee62a85819ea6fc43be6776,"Momentum turned down, SMA_10m resistance"
2026-04-09 22:38:23,BUY,"$2,218.51",0.00686,0x98cd8e79410b9aea878ac12a4655d0cc334701c35072f6851474578b807e5d21,Bullish momentum with price above sma_30m
2026-04-10 11:39:36,SELL(AI),"$2,189.40",0.00686,0x44f9fe218780b9c2468a96db19a36f24b36201603954cefdb9b95435b77de711,"Momentum turned down, SMA_10m below SMA_30m"
2026-04-10 11:48:49,BUY,"$2,189.14",0.0068,0xe443d861ffbda5b5c6e0edd650b17334492d2cc17c9a089c8aefc9890d6acad9,"Price above sma_10m, momentum flat, potential upside"
2026-04-10 11:50:00,SELL(AI),"$2,187.90",0.0068,0x9b07e6a6d6757129a4d20a739f77fd01ee5c6821d0dea4fd8a716bb1f5d941e9,"Momentum turned down, price below SMA_10m"
